  0.6992E-03;   0.9321E-03;   0.9288E-03;   0.9163E-03;   0.8851E-03;   0.8200E-03;   0.6941E-03;   0.5622E-03;   0.4803E-03;   0.5034E-03;   0.5285E-03;   0.5463E-03;   0.5764E-03;   0.7436E-03;   0.9855E-03;   0.1227E-02;   0.1389E-02;   0.1500E-02;   0.1574E-02;   0.1620E-02;   0.1232E-02
  0.9321E-03;   0.1169E-02;   0.1172E-02;   0.1168E-02;   0.1148E-02;   0.1101E-02;   0.1016E-02;   0.9005E-03;   0.8556E-03;   0.8725E-03;   0.9323E-03;   0.9479E-03;   0.1016E-02;   0.1166E-02;   0.1418E-02;   0.1634E-02;   0.1799E-02;   0.1920E-02;   0.2003E-02;   0.2055E-02;   0.1664E-02
  0.9288E-03;   0.1172E-02;   0.1190E-02;   0.1208E-02;   0.1217E-02;   0.1213E-02;   0.1193E-02;   0.1168E-02;   0.1169E-02;   0.1199E-02;   0.1248E-02;   0.1297E-02;   0.1372E-02;   0.1487E-02;   0.1639E-02;   0.1786E-02;   0.1908E-02;   0.2002E-02;   0.2069E-02;   0.2112E-02;   0.1707E-02
  0.9163E-03;   0.1168E-02;   0.1208E-02;   0.1254E-02;   0.1300E-02;   0.1341E-02;   0.1376E-02;   0.1410E-02;   0.1453E-02;   0.1505E-02;   0.1563E-02;   0.1621E-02;   0.1688E-02;   0.1771E-02;   0.1867E-02;   0.1961E-02;   0.2044E-02;   0.2111E-02;   0.2160E-02;   0.2192E-02;   0.1766E-02
  0.8851E-03;   0.1148E-02;   0.1217E-02;   0.1300E-02;   0.1387E-02;   0.1475E-02;   0.1560E-02;   0.1644E-02;   0.1727E-02;   0.1806E-02;   0.1877E-02;   0.1936E-02;   0.1989E-02;   0.2041E-02;   0.2096E-02;   0.2149E-02;   0.2197E-02;   0.2237E-02;   0.2267E-02;   0.2287E-02;   0.1838E-02
  0.8200E-03;   0.1101E-02;   0.1213E-02;   0.1341E-02;   0.1475E-02;   0.1610E-02;   0.1744E-02;   0.1877E-02;   0.2004E-02;   0.2116E-02;   0.2202E-02;   0.2258E-02;   0.2289E-02;   0.2309E-02;   0.2325E-02;   0.2342E-02;   0.2358E-02;   0.2373E-02;   0.2385E-02;   0.2393E-02;   0.1918E-02
  0.6941E-03;   0.1016E-02;   0.1193E-02;   0.1376E-02;   0.1560E-02;   0.1744E-02;   0.1931E-02;   0.2117E-02;   0.2295E-02;   0.2450E-02;   0.2558E-02;   0.2603E-02;   0.2602E-02;   0.2580E-02;   0.2555E-02;   0.2535E-02;   0.2520E-02;   0.2511E-02;   0.2506E-02;   0.2503E-02;   0.2002E-02
  0.5622E-03;   0.9005E-03;   0.1168E-02;   0.1410E-02;   0.1644E-02;   0.1877E-02;   0.2117E-02;   0.2363E-02;   0.2610E-02;   0.2831E-02;   0.2978E-02;   0.2993E-02;   0.2934E-02;   0.2855E-02;   0.2781E-02;   0.2721E-02;   0.2677E-02;   0.2645E-02;   0.2625E-02;   0.2612E-02;   0.2085E-02
  0.4803E-03;   0.8556E-03;   0.1169E-02;   0.1453E-02;   0.1727E-02;   0.2004E-02;   0.2295E-02;   0.2610E-02;   0.2948E-02;   0.3287E-02;   0.3528E-02;   0.3456E-02;   0.3288E-02;   0.3125E-02;   0.2992E-02;   0.2892E-02;   0.2820E-02;   0.2769E-02;   0.2735E-02;   0.2714E-02;   0.2164E-02
  0.5034E-03;   0.8725E-03;   0.1199E-02;   0.1505E-02;   0.1806E-02;   0.2116E-02;   0.2450E-02;   0.2831E-02;   0.3287E-02;   0.3840E-02;   0.4392E-02;   0.4014E-02;   0.3637E-02;   0.3363E-02;   0.3171E-02;   0.3036E-02;   0.2942E-02;   0.2876E-02;   0.2833E-02;   0.2806E-02;   0.2235E-02
